[2025-05-30 11:32:10] IP: 172.16.68.101 | Usuario: luis.caballeros | SO: Windows | Página: /monitoreos/dump_axess/logout.php
[2025-05-30 11:32:10] IP: 172.16.68.101 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-05-30 14:51:25] IP: 172.16.68.252 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 08:40:11] IP: 172.26.9.43 | Usuario: uziel.fierro | SO: Windows | Página: /monitoreos/dump_axess/
[2025-06-02 08:40:14] IP: 172.26.9.43 | Usuario: uziel.fierro | SO: Windows | Página: /monitoreos/dump_axess/login.php
[2025-06-02 09:17:29] IP: 172.16.68.252 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 09:43:03] IP: 172.26.8.129 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 15:11:45] IP: 172.26.8.129 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 15:11:49] IP: 172.26.8.129 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/login.php
[2025-06-02 15:11:53] IP: 172.26.8.129 | Usuario: lexmark.palacios | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 15:12:26] IP: 172.26.8.129 | Usuario: lexmark.palacios | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-02 15:12:38] IP: 172.26.8.129 | Usuario: lexmark.palacios | SO: Windows | Página: /monitoreos/dump_axess/login.php
[2025-06-02 16:28:57] IP: 172.26.8.129 | Usuario: lexmark.palacios | SO: Windows | Página: /monitoreos/dump_axess/logout.php
[2025-06-02 16:28:57] IP: 172.26.8.129 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
[2025-06-03 03:31:12] IP: 172.16.68.252 | Usuario: Invitado | SO: Windows | Página: /monitoreos/dump_axess/index.php
