[2025-06-12 16:07:40] IP: 172.16.69.46 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-12 16:08:30] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: Desconocido | Elemento: No especificado
[2025-06-12 16:08:33] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-12 16:11:27] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-12 16:11:39] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-13 09:16:05] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-13 09:16:08] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-13 09:44:39] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: Desconocido | Elemento: No especificado
[2025-06-13 09:44:41] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-13 09:47:15] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-13 09:47:25] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-13 10:08:25] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: Desconocido | Elemento: No especificado
[2025-06-15 18:10:29] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-15 18:10:33] IP: 172.21.57.191 | Usuario: cesar.perez | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-15 19:33:50] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-15 19:34:13] IP: 172.21.57.191 | Usuario: cesar.perez | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-22 14:49:48] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
